"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-01,9371,monthly,63.46,2003-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-01,11365,monthly,51.42,2003-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-01,13737,monthly,63.82,2003-01-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-01,8507,monthly,66.45,2003-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-01,3975,monthly,57.14,2003-01-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-02,8731,monthly,63.45,2003-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-02,10320,monthly,51.25,2003-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-02,12777,monthly,63.86,2003-02-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-02,7695,monthly,66.07,2003-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-02,3993,monthly,57.7,2003-02-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-03,9279,monthly,63.94,2003-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-03,10600,monthly,51.03,2003-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-03,12762,monthly,64.52,2003-03-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-03,7973,monthly,67.48,2003-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-03,4519,monthly,58.23,2003-03-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-04,9216,monthly,65.28,2003-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-04,10380,monthly,51.62,2003-04-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-04,13692,monthly,65.03,2003-04-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-04,8786,monthly,68.26,2003-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-04,4710,monthly,60.7,2003-04-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-05,10283,monthly,65.58,2003-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-05,11169,monthly,52.27,2003-05-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-05,14970,monthly,65.63,2003-05-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-05,9136,monthly,69.09,2003-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-05,5173,monthly,61.63,2003-05-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-06,10668,monthly,65.47,2003-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-06,11990,monthly,51.87,2003-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-06,15071,monthly,66.27,2003-06-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-06,9537,monthly,69.97,2003-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-06,5551,monthly,62.82,2003-06-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-07,11969,monthly,67.28,2003-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-07,13468,monthly,53.07,2003-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-07,17457,monthly,66.92,2003-07-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-07,10928,monthly,71.0,2003-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-07,5577,monthly,64.69,2003-07-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-08,12417,monthly,67.56,2003-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-08,14417,monthly,52.8,2003-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-08,18329,monthly,67.11,2003-08-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-08,11956,monthly,71.28,2003-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-08,5936,monthly,66.96,2003-08-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-09,12305,monthly,67.46,2003-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-09,14741,monthly,52.85,2003-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-09,18160,monthly,66.6,2003-09-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-09,11524,monthly,71.78,2003-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-09,5485,monthly,67.53,2003-09-01
