"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-01,6889,monthly,65.16,2003-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-01,3888,monthly,57.63,2003-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-01,10931,monthly,55.92,2003-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-01,7434,monthly,65.83,2003-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-01,7804,monthly,57.69,2003-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-02,6930,monthly,66.62,2003-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-02,3762,monthly,58.38,2003-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-02,10670,monthly,55.82,2003-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-02,7275,monthly,65.61,2003-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-02,7497,monthly,57.8,2003-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-03,7381,monthly,66.06,2003-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-03,4296,monthly,61.39,2003-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-03,11787,monthly,56.57,2003-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-03,7602,monthly,67.61,2003-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-03,8432,monthly,58.81,2003-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-04,7506,monthly,69.28,2003-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-04,4386,monthly,64.52,2003-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-04,12301,monthly,59.32,2003-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-04,7781,monthly,68.56,2003-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-04,8849,monthly,60.87,2003-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-05,8273,monthly,70.72,2003-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-05,5214,monthly,65.75,2003-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-05,13781,monthly,60.91,2003-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-05,8829,monthly,70.11,2003-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-05,10158,monthly,62.7,2003-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-06,8773,monthly,71.31,2003-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-06,5226,monthly,67.25,2003-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-06,13687,monthly,61.93,2003-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-06,9142,monthly,70.47,2003-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-06,10413,monthly,64.01,2003-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-07,9126,monthly,72.66,2003-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-07,5504,monthly,70.69,2003-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-07,14337,monthly,64.07,2003-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-07,9720,monthly,71.98,2003-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-07,11013,monthly,65.73,2003-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-08,9809,monthly,74.57,2003-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-08,5600,monthly,72.03,2003-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-08,15492,monthly,65.77,2003-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-08,10411,monthly,74.04,2003-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-08,11564,monthly,67.19,2003-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-09,9234,monthly,74.56,2003-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-09,5293,monthly,72.32,2003-09-01
